Student ID,Gender,Age,Family Size,Parent's Education,Student's Education,Subject,Period 1 Grade,Period 2 Grade,Period 3 Grade,Period 4 Grade,Social Factor 1,Social Factor 2,College Related Feature 1,College Related Feature 2
21,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,4,3
22,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,3,2
23,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,5,4
24,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,High,High,4,3
25,Male,21,Medium,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
26,Female,19,Small,Higher,Higher,Mathematics,16,17,18,19,Medium,High,5,4
27,Male,20,Medium,Higher,Higher,Mathematics,15,16,17,18,High,Low,4,3
28,Female,21,Small,Secondary,Secondary,Mathematics,14,15,16,17,Low,Medium,3,2
29,Male,18,Medium,Higher,Higher,Mathematics,17,18,19,20,Medium,High,5,4
30,Female,22,Small,Higher,Higher,Mathematics,13,14,15,16,High,Low,4,3
31,Male,19,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
32,Female,20,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Medium,High,5,4
33,Male,21,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
34,Female,19,Small,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
35,Male,18,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
36,Female,22,Small,Secondary,Secondary,Machine Learning,16,17,18,19,High,Low,4,3
37,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,Medium,3,2
38,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
39,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
40,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
41,Male,19,Medium,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,5,3
42,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,Low,High,4,4
43,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,5
44,Female,19,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,High,3,2
45,Male,21,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Low,4,3
46,Female,20,Medium,Higher,Higher,Mathematics,14,15,16,17,High,Medium,4,4
47,Male,19,Small,Secondary,Secondary,Mathematics,13,14,15,16,Low,High,3,2
48,Female,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Medium,Low,5,4
49,Male,20,Small,Higher,Higher,Mathematics,12,13,14,15,High,Medium,3,3
50,Male,21,Medium,Higher,Higher,Mathematics,16,17,18,19,Low,High,4,3
51,Male,19,Medium,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,5,3
52,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,Low,High,4,4
53,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,5
54,Female,19,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,High,3,2
55,Male,21,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Low,4,3
56,Female,20,Medium,Higher,Higher,Mathematics,14,15,16,17,High,Medium,4,4
57,Male,19,Small,Secondary,Secondary,Mathematics,13,14,15,16,Low,High,3,2
58,Female,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Medium,Low,5,4
59,Male,20,Small,Higher,Higher,Mathematics,12,13,14,15,High,Medium,3,3
60,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,Low,High,4,3
61,Male,22,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,High,5,4
62,Female,19,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Low,3,2
63,Male,18,Medium,Higher,Higher,Machine Learning,16,17,18,19,Medium,Medium,4,3
64,Female,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,5,4
65,Male,21,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Low,High,3,2
66,Female,19,Medium,Higher,Higher,Machine Learning,12,13,14,15,Medium,Medium,4,3
67,Male,22,Small,Higher,Higher,Mathematics,14,15,16,17,High,Low,5,4
68,Female,18,Medium,Higher,Higher,Mathematics,13,14,15,16,Low,High,3,2
69,Male,20,Small,Secondary,Secondary,Mathematics,15,16,17,18,Medium,Medium,4,3
70,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,High,Low,5,4
71,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,4,3
72,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,3,2
73,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,5,4
74,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,High,High,4,3
75,Male,21,Medium,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
76,Female,19,Small,Higher,Higher,Mathematics,16,17,18,19,Medium,High,5,4
77,Male,20,Medium,Higher,Higher,Mathematics,15,16,17,18,High,Low,4,3
78,Female,21,Small,Secondary,Secondary,Mathematics,14,15,16,17,Low,Medium,3,2
79,Male,18,Medium,Higher,Higher,Mathematics,17,18,19,20,Medium,High,5,4
80,Female,22,Small,Higher,Higher,Mathematics,13,14,15,16,High,Low,4,3
81,Male,19,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
82,Female,20,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Medium,High,5,4
83,Male,21,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
84,Female,19,Small,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
85,Male,18,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
86,Female,22,Small,Secondary,Secondary,Machine Learning,16,17,18,19,High,Low,4,3
87,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,Medium,3,2
88,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
89,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
90,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
91,Male,19,Medium,Secondary,Secondary,Mathematics,17,18,19,20,Medium,High,5,4
92,Female,20,Small,Higher,Higher,Mathematics,16,17,18,19,High,Low,4,3
93,Male,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Low,Medium,3,2
94,Female,21,Small,Higher,Higher,Mathematics,14,15,16,17,Medium,High,5,4
95,Male,19,Medium,Higher,Higher,Mathematics,13,14,15,16,High,Low,4,3
96,Female,20,Small,Secondary,Secondary,Mathematics,12,13,14,15,Low,Medium,3,2
97,Male,21,Medium,Higher,Higher,Mathematics,17,18,19,20,Medium,High,5,4
98,Female,19,Small,Higher,Higher,Mathematics,16,17,18,19,High,Low,4,3
99,Male,20,Medium,Higher,Higher,Mathematics,15,16,17,18,Low,Medium,3,2
100,Male,21,Small,Secondary,Secondary,Mathematics,14,15,16,17,Medium,High,5,4
101,Male,19,Medium,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,5,3
102,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,Low,High,4,4
103,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,5
104,Female,19,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,High,3,2
105,Male,21,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Low,4,3
106,Female,20,Medium,Higher,Higher,Mathematics,14,15,16,17,High,Medium,4,4
107,Male,19,Small,Secondary,Secondary,Mathematics,13,14,15,16,Low,High,3,2
108,Female,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Medium,Low,5,4
109,Male,20,Small,Higher,Higher,Mathematics,12,13,14,15,High,Medium,3,3
110,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,Low,High,4,3
111,Male,22,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,High,5,4
112,Female,19,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Low,3,2
113,Male,18,Medium,Higher,Higher,Machine Learning,16,17,18,19,Medium,Medium,4,3
114,Female,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,5,4
115,Male,21,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Low,High,3,2
116,Female,19,Medium,Higher,Higher,Machine Learning,12,13,14,15,Medium,Medium,4,3
117,Male,22,Small,Higher,Higher,Mathematics,14,15,16,17,High,Low,5,4
118,Female,18,Medium,Higher,Higher,Mathematics,13,14,15,16,Low,High,3,2
119,Male,20,Small,Secondary,Secondary,Mathematics,15,16,17,18,Medium,Medium,4,3
120,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,High,Low,5,4
121,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,4,3
122,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,3,2
123,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,5,4
124,Female,20,Small,Higher,Higher,Machine Learning,13,14,15,16,High,High,4,3
125,Male,21,Medium,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
126,Female,19,Small,Higher,Higher,Mathematics,16,17,18,19,Medium,High,5,4
127,Male,20,Medium,Higher,Higher,Mathematics,15,16,17,18,High,Low,4,3
128,Female,21,Small,Secondary,Secondary,Mathematics,14,15,16,17,Low,Medium,3,2
129,Male,18,Medium,Higher,Higher,Mathematics,17,18,19,20,Medium,High,5,4
130,Female,22,Small,Higher,Higher,Mathematics,13,14,15,16,High,Low,4,3
131,Male,19,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
132,Female,20,Small,Secondary,Secondary,Machine Learning,15,16,17,18,Medium,High,5,4
133,Male,21,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
134,Female,19,Small,Higher,Higher,Machine Learning,12,13,14,15,Low,Medium,3,2
135,Male,18,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
136,Female,22,Small,Secondary,Secondary,Machine Learning,16,17,18,19,High,Low,4,3
137,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,Medium,3,2
138,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
139,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
140,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
141,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
142,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,High,Low,4,3
143,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,Medium,3,2
144,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,High,5,4
145,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
146,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Medium,3,2
147,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,High,5,4
148,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
149,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Low,Medium,3,2
150,Male,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Medium,High,5,4
151,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
152,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
153,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
154,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,4,3
155,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,Medium,3,2
156,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,High,5,4
157,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,4,3
158,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,Medium,3,2
159,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Medium,High,5,4
160,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,Low,4,3
161,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,Medium,3,2
162,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Medium,High,5,4
163,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
164,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Medium,3,2
165,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
166,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,4,3
167,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,Medium,3,2
168,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
169,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
170,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
171,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
172,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,High,Low,4,3
173,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,Medium,3,2
174,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,High,5,4
175,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
176,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Medium,3,2
177,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,High,5,4
178,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
179,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Low,Medium,3,2
180,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Medium,High,5,4
181,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
182,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
183,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,5,4
184,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,4,3
185,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,Medium,3,2
186,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,High,5,4
187,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,4,3
188,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,Medium,3,2
189,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Medium,High,5,4
190,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,Low,4,3
191,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,Low,3,2
192,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,High,5,4
193,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Medium,4,3
194,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Low,3,2
195,Female,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,5,4
196,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,4,3
197,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,Low,3,2
198,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,High,5,4
199,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
200,Male,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
201,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Medium,5,4
202,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Medium,Low,4,3
203,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
204,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,5,4
205,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,Low,4,3
206,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,High,3,2
207,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Medium,5,4
208,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,4,3
209,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Low,High,3,2
210,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,Medium,5,4
211,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,Low,4,3
212,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,High,3,2
213,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Medium,5,4
214,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Low,4,3
215,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,3,2
216,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,5,4
217,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,Low,4,3
218,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
219,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Medium,5,4
220,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Medium,Low,4,3
221,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,3,2
222,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Medium,Medium,5,4
223,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
224,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,High,3,2
225,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,Medium,5,4
226,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,4,3
227,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,High,3,2
228,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,4
229,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
230,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,High,3,2
231,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,Medium,5,4
232,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,High,Low,4,3
233,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
234,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Medium,5,4
235,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
236,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,High,3,2
237,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,Medium,5,4
238,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
239,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Low,High,3,2
240,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Medium,Medium,5,4
241,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
242,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,High,3,2
243,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,5,4
244,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,4,3
245,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,3,2
246,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Low,5,4
247,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Medium,4,3
248,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
249,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Medium,Low,5,4
250,Male,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,High,4,3
251,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,Medium,3,2
252,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Medium,High,5,4
253,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Low,4,3
254,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Medium,3,2
255,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
256,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,4,3
257,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,High,3,2
258,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,4
259,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,4,3
260,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,3,2
261,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
262,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,High,Low,4,3
263,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,Medium,3,2
264,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Low,5,4
265,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,4,3
266,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,3,2
267,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,Low,5,4
268,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,High,4,3
269,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Medium,3,2
270,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Medium,High,5,4
271,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
272,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Low,Medium,3,2
273,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,High,5,4
274,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Low,4,3
275,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,High,3,2
276,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Medium,5,4
277,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Medium,Low,4,3
278,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
279,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,5,4
280,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,4,3
281,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,5,4
282,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,High,Low,4,3
283,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,Low,High,3,2
284,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Medium,Medium,5,4
285,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,Low,4,3
286,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,High,3,2
287,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Medium,5,4
288,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,Low,4,3
289,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,Low,High,3,2
290,Female,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,High,Medium,5,4
291,Male,21,Medium,Higher,Higher,Machine Learning,17,18,19,20,Low,Low,4,3
292,Female,19,Small,Higher,Higher,Machine Learning,16,17,18,19,Medium,High,3,2
293,Male,20,Medium,Higher,Higher,Machine Learning,15,16,17,18,High,Low,5,4
294,Female,21,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Medium,4,3
295,Male,19,Medium,Higher,Higher,Machine Learning,17,18,19,20,Medium,High,3,2
296,Female,22,Small,Secondary,Secondary,Machine Learning,14,15,16,17,High,Low,5,4
297,Male,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,Low,Medium,4,3
298,Female,21,Small,Higher,Higher,Machine Learning,15,16,17,18,Medium,High,3,2
299,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,5,4
300,Male,20,Small,Secondary,Secondary,Machine Learning,12,13,14,15,Low,Medium,4,3
301,Male,19,Medium,Higher,Higher,Machine Learning,14,15,16,17,High,Low,5,4
302,Female,20,Small,Secondary,Secondary,Machine Learning,13,14,15,16,Low,High,4,3
303,Male,18,Medium,Higher,Higher,Machine Learning,15,16,17,18,Medium,Medium,5,4
304,Female,19,Small,Higher,Higher,Machine Learning,12,13,14,15,High,High,3,2
305,Male,21,Medium,Higher,Higher,Machine Learning,16,17,18,19,Low,Low,4,3
306,Female,20,Medium,Higher,Higher,Mathematics,14,15,16,17,High,Medium,4,4
307,Male,19,Small,Secondary,Secondary,Mathematics,13,14,15,16,Low,High,3,2
308,Female,18,Medium,Higher,Higher,Mathematics,15,16,17,18,Medium,Low,5,4
309,Male,20,Small,Higher,Higher,Mathematics,12,13,14,15,High,Medium,3,3
310,Female,21,Medium,Higher,Higher,Mathematics,16,17,18,19,Low,High,4,3
311,Male,22,Medium,Higher,Higher,Machine Learning,17,18,19,20,High,High,5,4
312,Female,19,Small,Secondary,Secondary,Machine Learning,14,15,16,17,Low,Low,3,2
313,Male,18,Medium,Higher,Higher,Machine Learning,16,17,18,19,Medium,Medium,4,3
314,Female,20,Medium,Higher,Higher,Machine Learning,13,14,15,16,High,Low,5,4
